#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
106.693020	3.657182
106.780150	3.559717
106.869742	3.456021
106.962078	3.352463
107.057336	3.247393
107.155710	3.142095
107.257374	3.041114
107.362292	2.947693
107.470572	2.857292
107.582244	2.770950
107.697376	2.689075
107.816076	2.605747
107.938702	2.521950
108.065516	2.436363
108.197032	2.345697
108.333948	2.249877
108.477300	2.141362
108.628720	2.019719
108.790570	1.878089
108.966948	1.708613
109.164984	1.501072
109.398994	1.244974
109.711084	0.903125
110.148476	0.492187
110.920340	0.425335
111.425586	0.762500
111.793980	1.061772
112.067278	1.292634
112.296204	1.486666
112.498012	1.650794
112.681406	1.791265
112.851584	1.913738
113.011652	2.020707
113.163924	2.112904
113.309884	2.196795
113.450522	2.274440
113.586554	2.348538
113.718362	2.419998
113.846488	2.486893
113.971168	2.554348
114.092588	2.622233
114.210850	2.690779
114.326056	2.764659
114.438100	2.843791
114.547056	2.925078
114.652988	3.008266
114.755976	3.094190
114.856234	3.177113
114.954066	3.250080
115.050058	3.302768
115.144878	3.330004
115.239314	3.330499
115.334060	3.307288
115.429928	3.254390
115.527710	3.179042
115.628202	3.080778
115.732158	2.970268
115.840068	2.855838
115.952490	2.738917
116.069812	2.621971
116.192558	2.503301
116.321310	2.381907
116.456840	2.261245
116.599756	2.141041
116.750962	2.021305
116.911518	1.900425
117.082814	1.776617
117.266988	1.646779
117.467372	1.505532
117.690282	1.340007
117.948752	1.135871
118.279854	0.860079
118.930910	0.407685
119.515920	0.395408
120.184812	0.817255
120.533740	1.076168
120.807284	1.262698
121.045046	1.404553
121.261388	1.514181
121.463354	1.605114
121.654406	1.688720
121.836318	1.769493
122.009968	1.851830
122.175892	1.937413
122.334428	2.028955
122.485656	2.128191
122.629908	2.231562
122.767498	2.339200
122.898814	2.450846
123.024258	2.561847
123.144550	2.668699
123.260350	2.764318
123.372662	2.838190
123.482586	2.886326
123.591304	2.900931
123.700124	2.882407
123.810312	2.828836
123.923328	2.741977
124.040656	2.624555
124.163900	2.485870
124.294512	2.335201
124.434116	2.178515
124.584604	2.012500
124.748522	1.837576
124.929046	1.661216
125.130310	1.482037
125.359060	1.293284
125.627238	1.089220
125.962918	0.851985
126.973962	0.288251
127.502932	0.276077
128.554326	0.752272
128.936558	0.949076
129.246164	1.110983
129.513844	1.256979
129.752154	1.394664
129.967910	1.530379
130.165030	1.668344
130.346588	1.804124
130.515014	1.936529
130.672308	2.066973
130.820248	2.190209
130.960606	2.297023
131.095436	2.374239
131.226868	2.415941
131.357062	2.419886
131.488060	2.386539
131.622136	2.311967
131.761786	2.201475
131.909908	2.057443
132.070092	1.886321
132.246532	1.697461
132.445624	1.490616
132.678452	1.256336
132.972338	0.970730
133.826734	0.337404
134.338844	0.305260
135.265024	0.778208
135.628512	1.032488
135.909546	1.250465
136.145196	1.449154
136.350762	1.631844
136.535164	1.797373
136.704176	1.937891
136.862596	2.043365
137.014450	2.107942
137.163372	2.122956
137.312940	2.090966
137.466702	2.010105
137.629092	1.880450
137.806062	1.700051
138.006956	1.471830
138.249130	1.193369
138.591824	0.814682
139.358264	0.267631
140.131298	0.677079
140.542382	1.001585
140.829790	1.247268
141.065920	1.454724
141.272198	1.620246
141.460662	1.734843
141.639404	1.795709
141.814702	1.802261
141.992044	1.755374
142.177638	1.650776
142.379670	1.489881
142.612178	1.265567
142.911594	0.949288
143.539452	0.425697
144.088838	0.398952
144.751600	0.856127
145.082714	1.150059
145.337892	1.363467
145.558500	1.515306
145.761274	1.604900
145.956742	1.626252
146.153674	1.582045
