#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
36.624	474	36.650	384
36.676	504	36.700	363
36.726	530	36.751	349
36.777	552	36.802	341
36.827	567	36.853	340
36.878	575	36.904	346
36.929	577	36.954	360
36.980	570	37.005	379
37.030	556	37.055	404
37.081	536	37.107	432
37.131	511	37.157	463
37.182	482	37.208	494
37.233	450	37.258	524
37.284	418	37.309	552
37.334	386	37.360	575
37.385	358	37.411	593
37.435	333	37.461	604
37.487	315	37.512	609
37.537	303	37.562	606
37.588	297	37.614	597
37.638	299	37.664	580
37.689	307	37.715	559
37.740	323	37.765	532
37.791	345	37.816	502
37.841	371	37.866	470
37.892	400	37.918	440
37.942	432	37.968	410
37.993	463	38.019	384
38.044	493	38.069	362
38.095	520	38.120	347
38.145	542	38.171	339
38.196	558	38.222	336
38.246	567	38.272	343
38.298	569	38.323	356
38.348	565	38.373	376
38.399	552	38.425	400
38.449	534	38.475	429
38.500	510	38.526	460
38.551	482	38.576	493
38.602	452	38.627	523
38.652	421	38.678	551
38.703	390	38.729	575
38.753	362	38.779	594
38.804	337	38.830	606
38.855	318	38.880	611
38.906	305	38.931	610
38.956	298	38.982	600
39.007	299	39.033	585
39.057	307	39.083	563
39.109	321	39.134	537
39.159	341	39.184	506
39.210	366	39.236	474
39.260	394	39.286	442
39.311	424	39.337	412
39.362	454	39.387	383
39.413	484	39.438	361
39.463	510	39.489	345
39.514	533	39.540	336
39.564	548	39.590	334
39.615	558	39.641	339
39.666	562	39.691	351
39.717	558	39.742	371
